,Ticker,GICS
346,INCY,352010
347,INFO,202020
348,INTC,453010
349,INTU,451030
350,IP,151030
351,IPG,502010
352,IPGP,452030
353,IQV,352030
354,IRM,601010
355,ISRG,351010
356,IT,451020
357,ITT,201060
358,ITW,201060
359,IVZ,402030
360,J,201030
361,JBHT,203040
362,JBL,452030
363,JCI,201020
364,JCPNQ,255030
365,JEF,402010
366,JKHY,451020
367,JNJ,352020
368,JNPR,452010
369,JNS,402030
370,JOY,201060
371,JPM,401010
372,JWN,255030
373,K,302020
374,KATE,252030
375,KBH,252010
376,KDP,302010
377,KEY,401010
378,KEYS,452030
379,KHC,302020
380,KIM,601010
381,KLAC,453010
382,KMB,303010
383,KMI,101020
384,KMX,255040
385,KO,302010
386,KR,301010
387,KRFT,302020
388,KSS,255030
389,KSU,203040
390,L,403010
391,LB,255040
392,LDOS,451020
393,LEG,252010
394,LEN,252010
395,LH,351020
396,LHX,201010
397,LIN,151010
398,LKQ,255010
399,LLL,201010
400,LLTC,453010
401,LLY,352020
402,LM,402030
403,LMT,201010
404,LNC,403010
405,LNT,551010
406,LO,302030
407,LOW,255040
408,LPX,151050
409,LRCX,453010
410,LUV,203020
411,LVLT,501010
412,LVS,253010
413,LW,302020
414,LXK,452020
415,LYB,151010
416,LYV,502020
417,M,255030
418,MA,451020
419,MAA,601010
420,MAC,601010
421,MAR,253010
422,MAS,201020
423,MAT,252020
424,MBI,403010
425,MCD,253010
426,MCHP,453010
427,MCK,351020
428,MCO,402030
429,MDLZ,302020
430,MDP,502010
431,MDRIQ,101010
432,MDT,351010
433,MET,403010
434,MGM,253010
435,MHK,252010
436,MJN,302020
437,MKC,302020
438,MKTX,402030
439,MLM,151020
440,MMC,403010
441,MMM,201050
442,MNK,352020
443,MNST,302010
444,MO,302030
445,MON,151010
446,MOS,151010
447,MPC,101020
448,MRK,352020
449,MRO,101020
450,MS,402030
451,MSCI,402030
452,MSFT,451030
453,MSI,452010
454,MTB,401010
455,MTD,352030
456,MTG,401020
457,MTW,201060
458,MU,453010
459,MUR,101020
460,MWV,151030
461,MWW,502030
462,MXIM,453010
463,MYL,352020
464,NAV,201060
465,NAVI,402020
466,NBL,101020
467,NBR,101010
468,NCLH,253010
469,NCR,452020
470,NDAQ,402030
471,NE,101010
472,NEE,551010
473,NEM,151040
474,NFLX,502020
475,NFX,101020
476,NI,551030
477,NKE,252030
478,NKTR,352020
479,NLOK,451030
480,NLSN,202020
481,NOC,201010
482,NOV,101010
483,NOW,451030
484,NRG,551010
485,NSC,203040
486,NTAP,452020
487,NTRS,402030
488,NUE,151040
489,NVDA,453010
490,NVR,252010
491,NWL,252010
492,NWS,502010
493,NWSA,502010
494,NYT,502010
495,O,601010
496,ODFL,203040
497,OI,151030
498,OKE,101020
499,OMC,502010
500,ORCL,451030
501,ORLY,255040
502,OXY,101020
503,PAYX,451020
504,PBCT,401010
505,PBI,202010
506,PCAR,201060
507,PCG,551010
508,PCL,601010
509,PCP,201010
510,PDCO,351020
511,PEAK,601010
512,PEG,551030
513,PEP,302010
514,PETM,255040
515,PFE,352020
516,PFG,403010
517,PG,303010
518,PGR,403010
519,PH,201060
520,PHM,252010
521,PKG,151030
522,PKI,352030
523,PLD,601010
524,PM,302030
525,PMCS,453010
526,PNC,401010
527,PNR,201060
528,PNW,551010
529,POM,551010
530,PPG,151010
531,PPL,551010
532,PRGO,352020
533,PRU,403010
534,PSA,601010
535,PSX,101020
536,PTC,451030
537,PVH,252030
538,PWR,201030
539,PX,151010
540,PXD,101020
541,PYPL,451020
542,QCOM,453010
543,QEP,101020
544,QLGC,452030
545,QRVO,453010
546,R,203040
547,RAI,302030
548,RCL,253010
549,RDC,101010
550,RE,403010
551,REG,601010
552,REGN,352010
553,RF,401010
554,RHI,202020
555,RHT,451030
556,RIG,101010
557,RJF,402030
558,RL,252030
559,RMD,351010
560,ROK,201040
561,ROL,202010
562,ROP,201050
563,ROST,255040
564,RRC,101020
565,RRD,202010
566,RSG,202010
567,RSHCQ,255040
568,RTN,201010
569,RTX,201010
570,SANM,452030
571,SAPE,451020
572,SBAC,601010
573,SBUX,253010
574,SCG,551030
575,SCHW,402030
576,SEE,151030
577,SHLDQ,255030
578,SHW,151010
579,SIAL,151010
580,SIG,255040
581,SITC,601010
582,SIVB,401010
583,SJM,302020
584,SLB,101010
585,SLG,601010
586,SLM,402020
587,SNA,201060
588,SNDK,452020
589,SNI,502010
590,SNPS,451030
591,SNV,401010
592,SO,551010
593,SOV,401010
594,SPG,601010
595,SPGI,402030
596,SPLS,255040
597,SRCL,202010
598,SRE,551030
599,SSP,502010
600,STE,351010
601,STI,401010
602,STJ,351010
603,STR,551020
604,STT,402030
605,STX,452020
606,STZ,302010
607,SUNEQ,453010
608,SVU,301010
609,SWK,201060
610,SWKS,453010
611,SWN,101020
612,SWY,301010
613,SYF,402020
614,SYK,351010
615,SYY,301010
616,T,501010
617,TAP,302010
618,TDC,451030
619,TDG,201010
620,TEG,551030
621,TEL,452030
622,TER,453010
623,TEX,201060
624,TFC,401010
625,TFCF,502020
626,TFCFA,502020
627,TFX,351010
628,TGNA,502010
629,TGT,255030
630,THC,351020
631,TIF,255040
632,TJX,255040
633,TMO,352030
634,TMUS,501020
635,TPR,252030
636,TRIP,502030
637,TROW,402030
638,TRV,403010
639,TSCO,255040
640,TSN,302020
641,TSS,451020
642,TT,201020
643,TTWO,502020
644,TUP,252010
645,TWC,502010
646,TWTR,502030
647,TWX,502020
648,TXN,453010
649,TXT,201010
650,UA,252030
651,UAA,252030
652,UAL,203020
653,UDR,601010
654,UHS,351020
655,UIS,451020
656,ULTA,255040
657,UN,303020
658,UNH,351020
659,UNM,403010
660,UNP,203040
661,UPS,203010
662,URBN,255040
663,URI,201070
664,USB,401010
665,V,451020
666,VAL,101010
667,VAR,351010
668,VFC,252030
669,VIAB,502020
670,VIAC,502010
671,VIAV,452010
672,VLO,101020
673,VMC,151020
674,VNO,601010
675,VRSK,202020
676,VRSN,451020
677,VRTX,352010
678,VTR,601010
679,VTSS,453010
680,VZ,501010
681,WAB,201060
682,WAT,352030
683,WBA,301010
684,WCG,351020
685,WDC,452020
686,WEC,551030
687,WELL,601010
688,WFC,401010
689,WFM,301010
690,WFTIQ,101010
691,WHR,252010
692,WINMQ,501010
693,WLTW,403010
694,WM,202010
695,WMB,101020
696,WMT,301010
697,WOR,151040
698,WPX,101020
699,WRB,403010
700,WRK,151030
701,WU,451020
702,WY,601010
703,WYND,253010
704,WYNN,253010
705,X,151040
706,XEC,101020
707,XEL,551010
708,XL,403010
709,XLNX,453010
710,XOM,101020
711,XRAY,351010
712,XRX,452020
713,XYL,201060
714,YUM,253010
715,ZBH,351010
716,ZBRA,452030
717,ZION,401010
718,ZTS,352020
